# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
70.9913 	 -2.6489 	 0.9224 	 2127.6366 	 0.075 	 3.6489 
82.5399 	 -2.7969 	 0.4185 	 2127.7732 	 0.5597 	 3.7969 
238.0061 	 -0.9102 	 0.9926 	 2129.5029 	 0.0089 	 1.9102 
289.3685 	 -1.005 	 0.9935 	 2130.0823 	 0.0089 	 2.005 
335.4815 	 -0.5254 	 0.9909 	 2130.5914 	 0.0118 	 1.5254 
343.5557 	 -0.1391 	 0.9954 	 2130.678 	 0.0074 	 1.1391 
451.0099 	 -0.6096 	 0.9956 	 2131.8739 	 0.0055 	 1.6096 
538.9716 	 -0.8803 	 0.987 	 2132.8395 	 0.0141 	 1.8803 
814.7028 	 -2.6962 	 0.8081 	 2135.8679 	 0.1774 	 3.6962 
906.9684 	 -0.3078 	 0.9909 	 2136.8759 	 0.0107 	 1.3078 
940.3767 	 -1.4693 	 0.9898 	 2137.239 	 0.0112 	 2.4693 
