# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
58.1873 	 -1.52 	 0.898 	 2112.5446 	 0.12 	 2.52 
124.2238 	 -0.7156 	 0.9609 	 2113.3075 	 0.0502 	 1.7156 
189.4366 	 -0.6451 	 0.9724 	 2114.0565 	 0.0472 	 1.6451 
254.4235 	 -0.9913 	 0.9606 	 2114.8109 	 0.0424 	 1.9913 
284.9352 	 -0.4399 	 0.9796 	 2115.1613 	 0.027 	 1.4399 
321.7558 	 -0.6907 	 0.9622 	 2115.5731 	 0.0366 	 1.6907 
327.6124 	 -1.1272 	 0.9799 	 2115.6516 	 0.0201 	 2.1272 
370.2175 	 2.2291 	 0.9823 	 2116.1364 	 0.027 	 -1.2291 
376.8957 	 -1.5226 	 0.9319 	 2116.218 	 0.0679 	 2.5226 
386.7042 	 -0.5479 	 0.9811 	 2116.3367 	 0.0335 	 1.5479 
517.3072 	 -0.4583 	 0.984 	 2117.8243 	 0.0313 	 1.4583 
522.4502 	 -0.1465 	 0.9887 	 2117.8949 	 0.0197 	 1.1465 
554.9057 	 0.8792 	 0.986 	 2118.2661 	 0.032 	 0.1208 
582.3149 	 -2.8885 	 0.5723 	 2118.5727 	 0.4264 	 3.8885 
593.4039 	 3.442 	 0.9378 	 2118.6946 	 0.0734 	 -2.442 
634.128 	 -0.065 	 0.9828 	 2119.1585 	 0.0329 	 1.065 
674.1343 	 -0.1515 	 0.982 	 2119.6176 	 0.034 	 1.1515 
688.1499 	 -2.2458 	 0.8897 	 2119.7771 	 0.0984 	 3.2458 
715.1181 	 -1.7465 	 0.9148 	 2120.0852 	 0.0815 	 2.7465 
740.857 	 -1.5845 	 0.922 	 2120.3832 	 0.076 	 2.5845 
755.7335 	 1.8279 	 0.9857 	 2120.5462 	 0.0306 	 -0.8279 
797.215 	 -0.9473 	 0.9772 	 2121.0233 	 0.0322 	 1.9473 
883.8932 	 -1.3179 	 0.9632 	 2121.9934 	 0.0305 	 2.3179 
926.6029 	 -0.3118 	 0.9805 	 2122.4879 	 0.0285 	 1.3118 
970.838 	 -0.895 	 0.9805 	 2122.9894 	 0.0271 	 1.895 
