# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
39.4875 	 2.0464 	 0.9806 	 2155.251 	 0.0453 	 -1.0464 
64.0095 	 -0.4067 	 0.9682 	 2155.5106 	 0.0257 	 1.4067 
84.5073 	 -1.422 	 0.9427 	 2155.7109 	 0.0432 	 2.422 
318.6835 	 -1.0497 	 0.9473 	 2158.1209 	 0.0507 	 2.0497 
416.1226 	 -2.2866 	 0.8222 	 2159.1053 	 0.1845 	 3.2866 
503.7854 	 -2.2211 	 0.9273 	 2159.9904 	 0.0903 	 3.2211 
529.8643 	 -0.8772 	 0.9652 	 2160.2811 	 0.0117 	 1.8772 
596.6234 	 -0.6563 	 0.9418 	 2160.9194 	 0.0772 	 1.6563 
626.7276 	 -3.7117 	 0.947 	 2161.2386 	 0.0472 	 4.7117 
635.6714 	 -1.013 	 0.941 	 2161.3146 	 0.0463 	 2.013 
641.6799 	 -1.3325 	 0.9332 	 2161.3939 	 0.0735 	 2.3325 
845.9884 	 -2.9621 	 0.6033 	 2163.4424 	 0.3907 	 3.9621 
861.5635 	 -2.5147 	 0.8113 	 2163.5981 	 0.1907 	 3.5147 
