teff_2,logg_2,feh_2,alpha,npix,rv,gamma,chi2,arbnorm
4000,5.0,0.0,0.1216,972,95.0,-1.0,13079.5769,1.0
4000,5.0,0.0,0.1216,972,95.0,-0.75,12818.2995,1.0
4000,5.0,0.0,0.1216,972,95.0,-0.5,12699.8514,1.0
4000,5.0,0.0,0.1216,972,95.0,-0.25,12610.5285,1.0
4000,5.0,0.0,0.1216,972,95.0,0.0,12584.5515,1.0
4000,5.0,0.0,0.1216,972,95.0,0.25,12572.6589,1.0
4000,5.0,0.0,0.1216,972,95.0,0.5,12624.9266,1.0
4000,5.0,0.0,0.1216,972,95.0,0.75,12787.4037,1.0
4000,5.0,0.0,0.1216,972,95.5,-1.0,13130.0771,1.0
4000,5.0,0.0,0.1216,972,95.5,-0.75,12861.664,1.0
4000,5.0,0.0,0.1216,972,95.5,-0.5,12676.8856,1.0
4000,5.0,0.0,0.1216,972,95.5,-0.25,12587.964,1.0
4000,5.0,0.0,0.1216,972,95.5,0.0,12553.995,1.0
4000,5.0,0.0,0.1216,972,95.5,0.25,12580.9045,1.0
4000,5.0,0.0,0.1216,972,95.5,0.5,12657.7775,1.0
4000,5.0,0.0,0.1216,972,95.5,0.75,12819.407,1.0
4000,5.0,0.0,0.1216,972,96.0,-1.0,13142.1324,1.0
4000,5.0,0.0,0.1216,972,96.0,-0.75,12848.6634,1.0
4000,5.0,0.0,0.1216,972,96.0,-0.5,12645.4228,1.0
4000,5.0,0.0,0.1216,972,96.0,-0.25,12558.5622,1.0
4000,5.0,0.0,0.1216,972,96.0,0.0,12543.666,1.0
4000,5.0,0.0,0.1216,972,96.0,0.25,12611.4414,1.0
4000,5.0,0.0,0.1216,972,96.0,0.5,12661.7227,1.0
4000,5.0,0.0,0.1216,972,96.0,0.75,12772.0731,1.0
4000,5.0,0.0,0.1216,972,96.5,-1.0,13134.0011,1.0
4000,5.0,0.0,0.1216,972,96.5,-0.75,12840.0974,1.0
4000,5.0,0.0,0.1216,972,96.5,-0.5,12632.8642,1.0
4000,5.0,0.0,0.1216,972,96.5,-0.25,12534.7114,1.0
4000,5.0,0.0,0.1216,972,96.5,0.0,12541.6698,1.0
4000,5.0,0.0,0.1216,972,96.5,0.25,12605.9398,1.0
4000,5.0,0.0,0.1216,972,96.5,0.5,12658.9316,1.0
4000,5.0,0.0,0.1216,972,96.5,0.75,12769.7082,1.0
4000,5.0,0.0,0.1216,972,97.0,-1.0,13084.8596,1.0
4000,5.0,0.0,0.1216,972,97.0,-0.75,12843.399,1.0
4000,5.0,0.0,0.1216,972,97.0,-0.5,12629.0256,1.0
4000,5.0,0.0,0.1216,972,97.0,-0.25,12530.1297,1.0
4000,5.0,0.0,0.1216,972,97.0,0.0,12522.0396,1.0
4000,5.0,0.0,0.1216,972,97.0,0.25,12592.1714,1.0
4000,5.0,0.0,0.1216,972,97.0,0.5,12646.8123,1.0
4000,5.0,0.0,0.1216,972,97.0,0.75,12792.6202,1.0
4000,5.0,0.0,0.1216,972,97.5,-1.0,13068.0998,1.0
4000,5.0,0.0,0.1216,972,97.5,-0.75,12846.206,1.0
4000,5.0,0.0,0.1216,972,97.5,-0.5,12632.8497,1.0
4000,5.0,0.0,0.1216,972,97.5,-0.25,12570.7648,1.0
4000,5.0,0.0,0.1216,972,97.5,0.0,12516.3145,1.0
4000,5.0,0.0,0.1216,972,97.5,0.25,12603.6614,1.0
4000,5.0,0.0,0.1216,972,97.5,0.5,12697.5716,1.0
4000,5.0,0.0,0.1216,972,97.5,0.75,12790.1006,1.0
4000,5.0,0.0,0.1216,972,98.0,-1.0,13047.2492,1.0
4000,5.0,0.0,0.1216,972,98.0,-0.75,12823.9157,1.0
4000,5.0,0.0,0.1216,972,98.0,-0.5,12663.429,1.0
4000,5.0,0.0,0.1216,972,98.0,-0.25,12561.829,1.0
4000,5.0,0.0,0.1216,972,98.0,0.0,12580.2059,1.0
4000,5.0,0.0,0.1216,972,98.0,0.25,12625.7593,1.0
4000,5.0,0.0,0.1216,972,98.0,0.5,12707.2657,1.0
4000,5.0,0.0,0.1216,972,98.0,0.75,12805.6088,1.0
4000,5.0,0.0,0.1216,972,98.5,-1.0,13044.4138,1.0
4000,5.0,0.0,0.1216,972,98.5,-0.75,12817.3011,1.0
4000,5.0,0.0,0.1216,972,98.5,-0.5,12696.7274,1.0
4000,5.0,0.0,0.1216,972,98.5,-0.25,12577.9345,1.0
4000,5.0,0.0,0.1216,972,98.5,0.0,12582.4781,1.0
4000,5.0,0.0,0.1216,972,98.5,0.25,12639.5793,1.0
4000,5.0,0.0,0.1216,972,98.5,0.5,12718.1312,1.0
4000,5.0,0.0,0.1216,972,98.5,0.75,12891.8017,1.0
4000,5.0,0.0,0.1216,972,99.0,-1.0,13031.5735,1.0
4000,5.0,0.0,0.1216,972,99.0,-0.75,12849.4236,1.0
4000,5.0,0.0,0.1216,972,99.0,-0.5,12705.246,1.0
4000,5.0,0.0,0.1216,972,99.0,-0.25,12599.713,1.0
4000,5.0,0.0,0.1216,972,99.0,0.0,12638.3976,1.0
4000,5.0,0.0,0.1216,972,99.0,0.25,12645.8797,1.0
4000,5.0,0.0,0.1216,972,99.0,0.5,12738.0896,1.0
4000,5.0,0.0,0.1216,972,99.0,0.75,12917.3963,1.0
4000,5.0,0.0,0.1216,972,99.5,-1.0,13027.7758,1.0
4000,5.0,0.0,0.1216,972,99.5,-0.75,12859.5493,1.0
4000,5.0,0.0,0.1216,972,99.5,-0.5,12739.9282,1.0
4000,5.0,0.0,0.1216,972,99.5,-0.25,12625.4672,1.0
4000,5.0,0.0,0.1216,972,99.5,0.0,12671.6615,1.0
4000,5.0,0.0,0.1216,972,99.5,0.25,12701.1838,1.0
4000,5.0,0.0,0.1216,972,99.5,0.5,12748.1855,1.0
4000,5.0,0.0,0.1216,972,99.5,0.75,12950.6814,1.0
